VENDEDOR,CLIENTE,PRODUTO,QUANTIDADE,UNIDADE_MEDIDA_NF,PREÇO_NF,DATA_NF,CRP_AJUSTADO,VLR_PRECO_LISTA,VLR_CONTRIBUICAO
324,30691,1568,701,KGS,"9,165",9/9/2010,"6,08","10,78",  2.164 
319,31345,1146,1051,KGS,"5,928",9/19/2009,"3,94","7,21",  2.084 
324,32853,969,2629,KGS,"10,543",1/7/2010,"6,38","15,56",  10.938 
324,15757,16,3506,KGS,"3,705",12/13/2009,"2,31","5,75",  4.876 
401,23527,60,2016,KGS,"48,282",2/28/2010,"28,63","74,76",  39.610 
318,26292,1172,219,KGS,"51,896",9/17/2009,"32,67","66,37",  4.211 
389,22534,37,3568,KGS,"8,905",4/3/2009,"5,37","10,70",  12.615 
389,33904,411,4383,KGS,"30,55",5/21/2010,"18,08","34,78",  54.671 
328,33408,2,1051,KGS,"5,733",5/2/2009,"3,81","8,28",  2.018 
319,28665,194,1753,KGS,"5,941",8/23/2009,"3,76","6,88",  3.832 
47,14611,75,1753,KGS,"2,535",1/12/2009,"1,75","3,16",  1.383 
428,16209,1569,613,KGS,"7,163",5/9/2010,"4,94","9,21",  1.362 
328,33408,2,1051,KGS,"5,525",4/2/2009,"3,67","7,98",  1.947 
318,31603,1093,350,KGS,"125,567",9/23/2010,"75,13","171,66",  17.653 
389,32744,1173,262,KGS,"94,627",1/23/2010,"57,31","130,93",  9.777 
328,23902,35,876,KGS,"7,137",9/10/2010,"4,69","9,19",  2.147 
385,34788,29,876,KGS,"7,488",3/20/2010,"4,89","10,12",  2.274 
371,33514,76,219,KGS,"25,727",9/11/2010,"17,07","33,50",  1.895 
319,31345,1146,876,KGS,"6,149",1/16/2009,"4,10","7,78",  1.794 
411,900,7,350,KGS,"5,616",3/14/2010,"4,50","6,98",  389 
371,33514,76,219,KGS,"25,402",9/19/2010,"16,86","33,08",  1.871 
326,11516,4,876,KGS,"6,929",8/30/2009,"4,55","8,34",  2.080 
318,24552,411,1051,KGS,"32,227",11/21/2009,"19,35","37,22",  13.531 
389,2345,1290,350,KGS,"27,612",4/20/2009,"17,43","31,70",  3.565 
401,24580,411,8766,KGS,"31,434",12/5/2009,"18,54","37,65",  113.049 
431,20875,76,262,KGS,"20,904",6/4/2010,"13,86","25,35",  1.846 
389,27608,1145,350,KGS,"12,506",6/13/2009,"8,52","14,87",  1.394 
328,37294,133,1972,KGS,"5,473",4/1/2010,"3,43","7,09",  4.037 
431,31345,1146,525,KGS,"7,241",8/12/2010,"5,03","8,77",  1.160 
385,26886,29,701,KGS,"7,631",4/4/2010,"5,06","10,50",  1.799 
399,19290,1145,2542,KGS,"12,051",2/3/2009,"7,25","14,57",  12.212 
389,18877,1209,175,KGS,"45,877",4/19/2009,"29,28","58,94",  2.904 
324,22042,35,1753,KGS,"7,436",7/3/2010,"4,60","10,10",  4.965 
318,24552,411,1051,KGS,"31,382",10/24/2009,"18,84","36,25",  13.179 
324,22042,35,1753,KGS,"7,241",10/11/2010,"4,49","9,30",  4.826 
371,36825,76,219,KGS,"17,927",7/3/2009,"12,37","23,75",  1.217 
371,37551,479,438,KGS,"20,8",3/5/2010,"13,14","27,20",  3.357 
324,6533,35,1753,KGS,"7,15",10/15/2009,"4,43","9,72",  4.767 
432,36888,76,350,KGS,"21,84",6/18/2010,"13,97","25,54",  2.756 
318,11732,1186,876,KGS,"118,326",8/22/2010,"70,05","128,04",  42.290 
371,31294,7,350,KGS,"6,617",9/12/2009,"5,01","8,41",  563 
335,30426,1509,1753,KGS,"3,822",10/25/2009,"2,47","4,73",  2.369 
318,25612,1055,262,KGS,"37,245",6/14/2010,"23,40","53,45",  3.628 
371,31294,7,350,KGS,"6,643",10/23/2009,"5,02","8,44",  570 
401,25155,37,3225,KGS,"8,476",12/6/2009,"5,11","9,81",  10.869 
431,20875,76,262,KGS,"21,502",9/23/2010,"14,12","27,11",  1.933 
401,24596,1335,43,KGS,"209,69",2/8/2009,"132,27","265,55",  3.329 
